
Nombre de imagen               PID Nombre de sesi¢n N£m. de ses Uso de memor Estado          Nombre de usuario                                  Tiempo de CP T¡tulo de ventana                                                       
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0         8 KB Unknown         NT AUTHORITY\SYSTEM                                    23:30:26 N/D                                                                     
System                           4 Services                   0       492 KB Unknown         N/D                                                     0:07:04 N/D                                                                     
Registry                       168 Services                   0    86.676 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
smss.exe                       464 Services                   0     1.084 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
csrss.exe                      636 Services                   0     5.128 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
wininit.exe                    736 Services                   0     5.900 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
services.exe                   808 Services                   0     8.644 KB Unknown         N/D                                                     0:00:07 N/D                                                                     
lsass.exe                      828 Services                   0    17.796 KB Unknown         N/D                                                     0:00:17 N/D                                                                     
svchost.exe                    948 Services                   0     3.452 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                    972 Services                   0    26.944 KB Unknown         N/D                                                     0:00:09 N/D                                                                     
fontdrvhost.exe                992 Services                   0     2.820 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                    592 Services                   0    16.052 KB Unknown         N/D                                                     0:00:18 N/D                                                                     
svchost.exe                    756 Services                   0     7.608 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
svchost.exe                   1148 Services                   0     4.060 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   1220 Services                   0     5.608 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   1480 Services                   0     5.320 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   1600 Services                   0    14.896 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
svchost.exe                   1668 Services                   0    11.236 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   1676 Services                   0     6.184 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
atiesrxx.exe                  1712 Services                   0     4.920 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   1740 Services                   0     7.184 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
svchost.exe                   1800 Services                   0    11.320 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   1908 Services                   0    11.120 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
svchost.exe                   1936 Services                   0    12.504 KB Unknown         N/D                                                     0:00:08 N/D                                                                     
svchost.exe                   1944 Services                   0     5.204 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   1952 Services                   0     7.196 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
Memory Compression            1100 Services                   0   213.808 KB Unknown         N/D                                                     0:00:15 N/D                                                                     
svchost.exe                   1724 Services                   0     6.860 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   2080 Services                   0     9.976 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
svchost.exe                   2140 Services                   0     8.304 KB Unknown         N/D                                                     0:00:02 N/D                                                                     
svchost.exe                   2168 Services                   0     6.812 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   2176 Services                   0     8.640 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
svchost.exe                   2320 Services                   0     8.068 KB Unknown         N/D                                                     0:00:04 N/D                                                                     
svchost.exe                   2356 Services                   0    19.616 KB Unknown         N/D                                                     0:00:14 N/D                                                                     
svchost.exe                   2504 Services                   0     6.944 KB Unknown         N/D                                                     0:00:04 N/D                                                                     
svchost.exe                   2536 Services                   0    11.384 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   2656 Services                   0     8.088 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   2764 Services                   0    17.016 KB Unknown         N/D                                                     0:00:03 N/D                                                                     
svchost.exe                   2832 Services                   0    15.564 KB Unknown         N/D                                                     0:00:33 N/D                                                                     
svchost.exe                   2924 Services                   0     8.388 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   2932 Services                   0     5.624 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   2980 Services                   0    12.616 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
spoolsv.exe                   3128 Services                   0    19.672 KB Unknown         N/D                                                     0:00:07 N/D                                                                     
svchost.exe                   3164 Services                   0    17.000 KB Unknown         N/D                                                     0:00:03 N/D                                                                     
svchost.exe                   3328 Services                   0    17.092 KB Unknown         N/D                                                     0:00:02 N/D                                                                     
svchost.exe                   3336 Services                   0    28.928 KB Unknown         N/D                                                     0:00:03 N/D                                                                     
armsvc.exe                    3348 Services                   0     5.896 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
Fuel.Service.exe              3356 Services                   0     7.712 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   3368 Services                   0    10.240 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   3380 Services                   0     4.752 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   3376 Services                   0     5.672 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
vmnetdhcp.exe                 3400 Services                   0     4.716 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
vmnat.exe                     3408 Services                   0     6.368 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
vmware-authd.exe              3416 Services                   0    10.392 KB Unknown         N/D                                                     0:00:07 N/D                                                                     
vmware-usbarbitrator64.ex     3448 Services                   0     8.600 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
sqlwriter.exe                 3456 Services                   0     7.508 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
dasHost.exe                   3652 Services                   0    12.340 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   3668 Services                   0     4.768 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   3264 Services                   0     6.928 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   4496 Services                   0     6.200 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   4584 Services                   0     8.200 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
dllhost.exe                   5056 Services                   0     8.952 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                    764 Services                   0     5.796 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   5360 Services                   0    10.744 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   5972 Services                   0     5.724 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   6000 Services                   0    10.348 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   5228 Services                   0    21.492 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   6016 Services                   0     9.512 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
SearchIndexer.exe             5124 Services                   0    58.456 KB Unknown         N/D                                                     0:01:53 N/D                                                                     
svchost.exe                   5872 Services                   0    14.180 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
svchost.exe                   6072 Services                   0     7.596 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   6128 Services                   0    10.196 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                    728 Services                   0    17.548 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   5832 Services                   0    19.828 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
MsMpEng.exe                   5200 Services                   0   662.840 KB Unknown         N/D                                                     0:04:49 N/D                                                                     
NisSrv.exe                    3852 Services                   0     9.096 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
SecurityHealthService.exe     1996 Services                   0    15.936 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   5280 Services                   0    25.456 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
svchost.exe                   1104 Services                   0    19.252 KB Unknown         N/D                                                     0:00:08 N/D                                                                     
svchost.exe                   6328 Services                   0     9.516 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
SgrmBroker.exe                6436 Services                   0     5.440 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   6684 Services                   0    21.764 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   5220 Services                   0    15.584 KB Unknown         N/D                                                     0:00:07 N/D                                                                     
svchost.exe                   6644 Services                   0     6.900 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                  10212 Services                   0    10.128 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   8712 Services                   0    12.864 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   4256 Services                   0    14.204 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
svchost.exe                  11392 Services                   0     9.956 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
